Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 1.80 s using 788 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  /education/educational_institution/campuses  ?h  ?h  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.656	1	1	82	82	82	?a
?h  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b  ?a  /organization/organization_member/member_of./organization/organization_membership/organization  ?h   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.04	0.076923077	1	5	65	5	?a
?g  /education/educational_institution/campuses  ?a  ?g  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.656	1	1	82	82	82	?a
?g  /education/educational_institution_campus/educational_institution  ?a  ?g  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.664	1	1	83	83	83	?a
?g  /film/film/language  ?b  ?g  /film/film/music  ?a   => ?a  /people/person/languages  ?b	0.01532567	0.018720749	0.292682927	12	641	41	?a
?b  /language/human_language/countries_spoken_in  ?h  ?a  /people/person/nationality  ?h   => ?a  /people/person/languages  ?b	0.314176245	0.029521181	0.182087343	246	8333	1351	?a
?h  /location/hud_county_place/place  ?a  ?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.026816187	0.859375	0.887096774	55	64	62	?a
?a  /location/hud_county_place/place  ?h  ?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.026816187	0.859375	0.887096774	55	64	62	?a
?h  /base/aareas/schema/administrative_area/administrative_area_type  ?b  ?a  /location/country/capital  ?h   => ?a  /base/aareas/schema/administrative_area/administrative_area_type  ?b	0.012820513	1	1	2	2	2	?a
?h  /base/aareas/schema/administrative_area/administrative_area_type  ?b  ?a  /location/administrative_division/country  ?h   => ?a  /base/aareas/schema/administrative_area/administrative_area_type  ?b	0.012820513	0.006309148	1	2	317	2	?a
?g  /film/film/language  ?b  ?g  /film/film/written_by  ?a   => ?a  /people/person/languages  ?b	0.038314176	0.04076087	0.422535211	30	736	71	?a
?g  /film/film/language  ?b  ?g  /film/film/produced_by  ?a   => ?a  /people/person/languages  ?b	0.034482759	0.028331584	0.293478261	27	953	92	?a
?g  /base/aareas/schema/administrative_area/administrative_area_type  ?b  ?g  /location/country/capital  ?a   => ?a  /base/aareas/schema/administrative_area/administrative_area_type  ?b	0.012820513	0.026315789	1	2	76	2	?a
?g  /base/aareas/schema/administrative_area/administrative_area_type  ?b  ?g  /military/military_combatant/military_conflicts./military/military_combatant_group/combatants  ?a   => ?a  /base/aareas/schema/administrative_area/administrative_area_type  ?b	0.205128205	0.5	1	32	64	32	?a
?g  /base/aareas/schema/administrative_area/administrative_area_type  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /base/aareas/schema/administrative_area/administrative_area_type  ?b	0.782051282	0.726190476	1	122	168	122	?a
?a  /location/location/partially_contains  ?h  ?b  /location/location/partially_contains  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.092150171	0.193054137	0.202139037	189	979	935	?a
?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?h  ?b  /media_common/netflix_genre/titles  ?h   => ?a  /film/film/genre  ?b	0.014997248	0.218875502	0.223819302	109	498	487	?a
?h  /film/film/genre  ?b  ?a  /film/film/prequel  ?h   => ?a  /film/film/genre  ?b	0.053935058	0.604938272	0.608695652	392	648	644	?a
?a  /education/educational_institution_campus/educational_institution  ?h  ?h  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.664	1	1	83	83	83	?a
?g  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b  ?g  /organization/organization/child./organization/organization_relationship/child  ?a   => ?a  /organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency  ?b	0.032	0.666666667	1	4	6	4	?a
?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h  ?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.569478303	0.202637058	0.202637058	1168	5764	5764	?a
?b  /location/hud_county_place/place  ?h  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.031204291	1	1	64	64	64	?a
?b  /location/hud_county_place/place  ?h  ?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.026816187	0.808823529	0.859375	55	68	64	?a
?b  /location/hud_county_place/county  ?h  ?h  /location/location/contains  ?a   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.010238908	0.020250723	0.198113208	21	1037	106	?a
?a  /location/hud_county_place/county  ?h  ?b  /location/hud_county_place/county  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.012676743	0.027513228	0.213114754	26	945	122	?a
?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a  ?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.574841541	0.206190976	0.208267091	1179	5718	5661	?a
?a  /location/hud_county_place/county  ?h  ?h  /location/location/contains  ?b   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.011214042	0.022179364	0.209090909	23	1037	110	?a
?g  /time/event/locations  ?a  ?g  /time/event/locations  ?b   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.032179425	0.034003091	0.101382488	66	1941	651	?a
?h  /location/hud_county_place/place  ?b  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.031204291	1	1	64	64	64	?a
?g  /location/hud_county_place/place  ?a  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.033154559	1	1	68	68	68	?a
?g  /location/hud_county_place/place  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.026816187	0.808823529	0.859375	55	68	64	?a
?h  /film/film/dubbing_performances./film/dubbing_performance/actor  ?b  ?a  /film/film/prequel  ?h   => ?a  /film/film/dubbing_performances./film/dubbing_performance/actor  ?b	0.052631579	0.545454545	0.545454545	6	11	11	?b
?g  /film/film/dubbing_performances./film/dubbing_performance/actor  ?b  ?g  /film/film/prequel  ?a   => ?a  /film/film/dubbing_performances./film/dubbing_performance/actor  ?b	0.052631579	0.352941176	0.352941176	6	17	17	?b
?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.577766943	0.207639741	0.211079444	1185	5707	5614	?a
?b  /location/country/second_level_divisions  ?a  ?b  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.126943005	0.342657343	0.690140845	49	143	71	?a
?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.572891273	0.205491431	0.205491431	1175	5718	5718	?a
?b  /location/country/capital  ?a  ?b  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.059585492	0.280487805	0.884615385	23	82	26	?a
?a  /base/biblioness/bibs_location/country  ?b  ?b  /location/country/capital  ?a   => ?a  /location/administrative_division/country  ?b	0.044041451	0.298245614	0.944444444	17	57	18	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?b  /location/country/capital  ?a   => ?a  /location/administrative_division/country  ?b	0.03626943	0.7	0.875	14	20	16	?a
?a  /base/biblioness/bibs_location/country  ?b  ?b  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.277202073	0.232104121	0.922413793	107	461	116	?a
?a  /location/hud_county_place/place  ?h  ?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b   => ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b	0.033154559	1	1	68	68	68	?a
?a  /base/biblioness/bibs_location/country  ?b  ?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /location/administrative_division/country  ?b	0.139896373	0.84375	0.981818182	54	64	55	?a
?b  /film/film_subject/films  ?h  ?h  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?a   => ?a  /olympics/olympic_games/sports  ?b	0.013554217	0.9	0.9	9	10	10	?b
?b  /film/film_subject/films  ?h  ?a  /olympics/olympic_games/sports  ?h   => ?a  /olympics/olympic_games/sports  ?b	0.030120482	1	1	20	20	20	?b
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/biblioness/bibs_location/country  ?b   => ?a  /location/administrative_division/country  ?b	0.170984456	0.75	0.970588235	66	88	68	?a
?b  /location/country/capital  ?h  ?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/administrative_division/country  ?b	0.012953368	0.294117647	0.555555556	5	17	9	?a
?b  /location/country/capital  ?h  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/administrative_division/country  ?b	0.012953368	0.277777778	0.555555556	5	18	9	?a
?b  /location/country/capital  ?h  ?a  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.015544041	0.034482759	0.333333333	6	174	18	?a
?g  /olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics  ?a  ?b  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country  ?g   => ?a  /olympics/olympic_games/sports  ?b	0.957831325	0.281291464	0.297335203	636	2261	2139	?b
?b  /dataworld/gardening_hint/split_to  ?h  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.090673575	0.53030303	0.660377358	35	66	53	?a
?b  /film/film_subject/films  ?h  ?a  /user/jg/default_domain/olympic_games/sports  ?h   => ?a  /olympics/olympic_games/sports  ?b	0.019578313	0.928571429	0.928571429	13	14	14	?b
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?b  /dataworld/gardening_hint/split_to  ?h   => ?a  /location/administrative_division/country  ?b	0.075129534	0.402777778	0.527272727	29	72	55	?a
?h  /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics  ?a  ?b  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country  ?h   => ?a  /olympics/olympic_games/sports  ?b	0.993975904	0.273858921	0.289346778	660	2410	2281	?b
?g  /film/film_subject/films  ?b  ?a  /user/jg/default_domain/olympic_games/sports  ?g   => ?a  /olympics/olympic_games/sports  ?b	0.019578313	0.052845528	0.928571429	13	246	14	?b
?g  /film/film_subject/films  ?b  ?g  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?a   => ?a  /olympics/olympic_games/sports  ?b	0.013554217	0.044554455	0.9	9	202	10	?b
?a  /base/biblioness/bibs_location/country  ?h  ?b  /dataworld/gardening_hint/split_to  ?h   => ?a  /location/administrative_division/country  ?b	0.113989637	0.090349076	0.330827068	44	487	133	?a
?g  /film/film_subject/films  ?b  ?a  /olympics/olympic_games/sports  ?g   => ?a  /olympics/olympic_games/sports  ?b	0.030120482	0.063492063	1	20	315	20	?b
?b  /location/location/contains  ?h  ?h  /organization/organization/headquarters./location/mailing_address/state_province_region  ?a   => ?a  /location/administrative_division/country  ?b	0.189119171	0.172985782	0.239344262	73	422	305	?a
?b  /dataworld/gardening_hint/split_to  ?h  ?h  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.111398964	0.022775424	0.137380192	43	1888	313	?a
?a  /olympics/olympic_games/participating_countries  ?h  ?b  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country  ?h   => ?a  /olympics/olympic_games/sports  ?b	0.77560241	0.27393617	0.292281498	515	1880	1762	?b
?h  /base/aareas/schema/administrative_area/capital  ?a  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.028497409	0.064327485	0.578947368	11	171	19	?a
?h  /location/country/second_level_divisions  ?a  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.082901554	0.233576642	0.376470588	32	137	85	?a
?b  /location/location/contains  ?h  ?h  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/administrative_division/country  ?b	0.075129534	0.043939394	0.298969072	29	660	97	?a
?a  /base/aareas/schema/administrative_area/capital  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.204663212	0.294776119	0.391089109	79	268	202	?a
?h  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.284974093	0.077084793	0.438247012	110	1427	251	?a
?a  /base/biblioness/bibs_location/state  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.033678756	0.025540275	0.5	13	509	26	?a
?a  /base/biblioness/bibs_location/country  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.038860104	0.036855037	0.114503817	15	407	131	?a
?b  /location/location/contains  ?h  ?a  /location/location/partially_contains  ?h   => ?a  /location/administrative_division/country  ?b	0.025906736	0.105263158	0.476190476	10	95	21	?a
?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.028497409	0.031976744	0.647058824	11	344	17	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?h  /dataworld/gardening_hint/split_to  ?b   => ?a  /location/administrative_division/country  ?b	0.088082902	0.53125	0.68	34	64	50	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.124352332	0.083916084	0.168421053	48	572	285	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?h  /location/administrative_division/first_level_division_of  ?b   => ?a  /location/administrative_division/country  ?b	0.088082902	0.288135593	0.829268293	34	118	41	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?h  /time/event/locations  ?b   => ?a  /location/administrative_division/country  ?b	0.012953368	0.714285714	0.714285714	5	7	7	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.077720207	0.2	0.810810811	30	150	37	?a
?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.305699482	0.082115518	0.453846154	118	1437	260	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.041450777	0.551724138	1	16	29	16	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /location/administrative_division/first_level_division_of  ?b   => ?a  /location/administrative_division/country  ?b	0.041450777	0.333333333	0.666666667	16	48	24	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /dataworld/gardening_hint/split_to  ?b   => ?a  /location/administrative_division/country  ?b	0.150259067	0.177370031	0.950819672	58	327	61	?a
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/aareas/schema/administrative_area/administrative_parent  ?h   => ?a  /location/administrative_division/country  ?b	0.088082902	0.116040956	0.223684211	34	293	152	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /time/event/locations  ?b   => ?a  /location/administrative_division/country  ?b	0.038860104	0.555555556	1	15	27	15	?a
?h  /location/location/contains  ?a  ?b  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.305699482	0.022172116	0.209964413	118	5322	562	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?b  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.396373057	0.433427762	0.776649746	153	353	197	?a
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/biblioness/bibs_location/country  ?h   => ?a  /location/administrative_division/country  ?b	0.041450777	0.077669903	0.262295082	16	206	61	?a
?h  /location/administrative_division/country  ?b  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/administrative_division/country  ?b	0.279792746	0.551020408	0.857142857	108	196	126	?a
?b  /location/country/second_level_divisions  ?h  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/administrative_division/country  ?b	0.03626943	0.043076923	0.933333333	14	325	15	?a
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.090673575	0.813953488	1	35	43	35	?a
?h  /base/biblioness/bibs_location/country  ?b  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/administrative_division/country  ?b	0.196891192	0.4	0.826086957	76	190	92	?a
?h  /location/administrative_division/first_level_division_of  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.025906736	0.454545455	0.625	10	22	16	?a
?h  /base/biblioness/bibs_location/country  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.023316062	0.818181818	1	9	11	9	?a
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h   => ?a  /location/administrative_division/country  ?b	0.264248705	0.230769231	0.744525547	102	442	137	?a
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.023316062	0.115384615	0.173076923	9	78	52	?a
?h  /location/administrative_division/country  ?b  ?a  /location/administrative_division/first_level_division_of  ?h   => ?a  /location/administrative_division/country  ?b	0.018134715	0.583333333	1	7	12	7	?a
?h  /location/administrative_division/country  ?b  ?a  /location/administrative_division/country  ?h   => ?a  /location/administrative_division/country  ?b	0.010362694	0.571428571	0.571428571	4	7	7	?a
?a  /base/aareas/schema/administrative_area/capital  ?h  ?b  /location/country/second_level_divisions  ?h   => ?a  /location/administrative_division/country  ?b	0.020725389	0.888888889	1	8	9	8	?a
?a  /base/aareas/schema/administrative_area/capital  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.031088083	0.8	1	12	15	12	?a
?a  /base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer  ?h  ?h  /people/person/nationality  ?b   => ?a  /location/administrative_division/country  ?b	0.033678756	0.076923077	0.295454545	13	169	44	?a
?h  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b  ?a  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.020725389	0.19047619	0.571428571	8	42	14	?a
?a  /location/location/contains  ?h  ?h  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /location/administrative_division/country  ?b	0.064766839	0.3125	1	25	80	25	?a
?b  /location/country/second_level_divisions  ?h  ?a  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.142487047	0.48245614	0.887096774	55	114	62	?a
?h  /location/administrative_division/country  ?b  ?a  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.075129534	0.188311688	0.878787879	29	154	33	?a
?h  /base/biblioness/bibs_location/country  ?b  ?a  /base/biblioness/bibs_location/state  ?h   => ?a  /location/administrative_division/country  ?b	0.031088083	0.054054054	0.857142857	12	222	14	?a
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.031088083	0.054794521	1	12	219	12	?a
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/first_level_division_of  ?b   => ?a  /location/administrative_division/country  ?b	0.018134715	0.029661017	1	7	236	7	?a
?h  /base/biblioness/bibs_location/country  ?b  ?a  /location/location/contains  ?h   => ?a  /location/administrative_division/country  ?b	0.256476684	0.271978022	0.925233645	99	364	107	?a
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/biblioness/bibs_location/state  ?h   => ?a  /location/administrative_division/country  ?b	0.018134715	0.031674208	0.875	7	221	8	?a
?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?h  ?b  /location/country/second_level_divisions  ?h   => ?a  /location/administrative_division/country  ?b	0.012953368	0.034965035	1	5	143	5	?a
?b  /dataworld/gardening_hint/split_to  ?h  ?a  /location/administrative_division/country  ?h   => ?a  /location/administrative_division/country  ?b	0.126943005	0.15408805	0.15408805	49	318	318	?a
?h  /location/administrative_division/country  ?b  ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?h   => ?a  /location/administrative_division/country  ?b	0.023316062	0.089108911	1	9	101	9	?a
?h  /location/administrative_division/country  ?a  ?b  /location/administrative_division/country  ?h   => ?a  /location/administrative_division/country  ?b	0.010362694	0.571428571	1	4	7	4	?a
?h  /base/biblioness/bibs_location/state  ?a  ?b  /location/country/second_level_divisions  ?h   => ?a  /location/administrative_division/country  ?b	0.028497409	0.611111111	0.785714286	11	18	14	?a
?h  /base/aareas/schema/administrative_area/capital  ?a  ?b  /location/country/second_level_divisions  ?h   => ?a  /location/administrative_division/country  ?b	0.010362694	0.266666667	1	4	15	4	?a
?h  /location/administrative_division/country  ?b  ?a  /location/hud_county_place/place  ?h   => ?a  /location/administrative_division/country  ?b	0.010362694	1	1	4	4	4	?a
?h  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a  ?b  /location/country/second_level_divisions  ?h   => ?a  /location/administrative_division/country  ?b	0.023316062	0.642857143	1	9	14	9	?a
?h  /base/biblioness/bibs_location/country  ?b  ?a  /location/hud_county_place/place  ?h   => ?a  /location/administrative_division/country  ?b	0.010362694	0.022222222	1	4	180	4	?a
?b  /location/country/second_level_divisions  ?h  ?h  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.015544041	0.014218009	0.375	6	422	16	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /location/administrative_division/country  ?b	0.012953368	0.051020408	0.555555556	5	98	9	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /location/country/second_level_divisions  ?a   => ?a  /location/administrative_division/country  ?b	0.082901554	0.301886792	0.450704225	32	106	71	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /location/administrative_division/country  ?b	0.010362694	0.148148148	0.2	4	27	20	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/administrative_division/country  ?b	0.238341969	0.211981567	0.724409449	92	434	127	?a
?g  /location/administrative_division/country  ?b  ?g  /location/country/second_level_divisions  ?a   => ?a  /location/administrative_division/country  ?b	0.082901554	0.666666667	0.96969697	32	48	33	?a
?g  /base/biblioness/bibs_location/state  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.031088083	0.666666667	1	12	18	12	?a
?g  /base/aareas/schema/administrative_area/capital  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.028497409	0.113402062	1	11	97	11	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.049222798	0.25	0.863636364	19	76	22	?a
?g  /location/administrative_division/country  ?b  ?g  /location/hud_county_place/place  ?a   => ?a  /location/administrative_division/country  ?b	0.010362694	1	1	4	4	4	?a
?g  /location/administrative_division/country  ?b  ?g  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /location/administrative_division/country  ?b	0.025906736	0.625	1	10	16	10	?a
?g  /location/location/contains  ?a  ?g  /time/event/locations  ?b   => ?a  /location/administrative_division/country  ?b	0.101036269	0.190243902	0.951219512	39	205	41	?a
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.183937824	0.032733979	0.26394052	71	2169	269	?a
?g  /location/country/second_level_divisions  ?a  ?g  /time/event/locations  ?b   => ?a  /location/administrative_division/country  ?b	0.082901554	0.666666667	0.96969697	32	48	33	?a
?g  /location/administrative_division/country  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /location/administrative_division/country  ?b	0.010362694	0.06779661	0.8	4	59	5	?a
?g  /location/administrative_division/country  ?b  ?g  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.176165803	0.046008119	0.894736842	68	1478	76	?a
?g  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b  ?g  /organization/organization/headquarters./location/mailing_address/state_province_region  ?a   => ?a  /location/administrative_division/country  ?b	0.051813472	0.188679245	0.25	20	106	80	?a
?g  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/administrative_division/country  ?b	0.023316062	0.04109589	0.157894737	9	219	57	?a
?g  /dataworld/gardening_hint/split_to  ?b  ?g  /location/country/second_level_divisions  ?a   => ?a  /location/administrative_division/country  ?b	0.088082902	0.088772846	0.971428571	34	383	35	?a
?g  /base/biblioness/bibs_location/country  ?b  ?g  /base/biblioness/bibs_location/state  ?a   => ?a  /location/administrative_division/country  ?b	0.160621762	0.784810127	0.96875	62	79	64	?a
?g  /base/biblioness/bibs_location/country  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /location/administrative_division/country  ?b	0.199481865	0.398963731	0.810526316	77	193	95	?a
?g  /base/biblioness/bibs_location/country  ?b  ?g  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /location/administrative_division/country  ?b	0.150259067	0.386666667	0.966666667	58	150	60	?a
?g  /dataworld/gardening_hint/split_to  ?b  ?g  /location/location/contains  ?a   => ?a  /location/administrative_division/country  ?b	0.212435233	0.075091575	0.828282828	82	1092	99	?a
?g  /base/aareas/schema/administrative_area/capital  ?a  ?g  /base/biblioness/bibs_location/country  ?b   => ?a  /location/administrative_division/country  ?b	0.012953368	0.078125	1	5	64	5	?a
